Freq[Hz]     dBSPL  Phase[Deg]
21697.8     86.439  -112.880
22013.4     86.488  -117.128
22333.6     86.400  -121.989
22658.4     86.147  -127.119
22988.0     85.719  -132.152
23322.4     85.127  -136.754
23661.6     84.409  -140.723
24005.8     83.584  -143.955
24355.0     82.663  -146.323
24709.2     81.666  -147.673
25068.6     80.602  -147.797
25433.2     79.497  -146.426
25803.2     78.415  -143.332
26178.5     77.479  -138.525
26559.3     76.845  -132.436
26945.6     76.635  -125.827
27337.5     76.883  -119.621
27735.2     77.503  -114.717
28138.6     78.329  -111.710
28547.9     79.217  -110.808
28963.1     80.052  -111.919
29384.4     80.762  -114.760
29811.8     81.302  -118.963
30245.4     81.651  -124.146
30685.3     81.789  -129.896
31131.7     81.721  -135.798
31584.5     81.475  -141.548
32043.9     81.065  -146.930
32510.0     80.514  -151.769
32982.8     79.853  -155.970
33462.6     79.085  -159.433
33949.3     78.227  -161.993
34443.1     77.298  -163.463
34944.1     76.334  -163.669
35452.4     75.403  -162.546
35968.0     74.607  -160.300
36491.2     74.028  -157.383
37022.0     73.717  -154.409
37560.5     73.644  -152.021
38106.8     73.708  -150.562
38661.1     73.815  -150.041
39223.4     73.903  -150.059
39793.9     73.968  -150.374
