Freq[Hz]     dBSPL  Phase[Deg]
3272.31     78.248   179.975
3319.91     77.714   178.487
3368.20     77.144   177.263
3417.19     76.568   176.227
3466.89     75.986   175.264
3517.32     75.398   174.308
3568.48     74.801   173.219
3620.39     74.107   172.134
3673.05     73.334   171.352
3726.47     72.478   171.024
3780.67     71.514   171.440
3835.67     70.530   172.667
3891.46     69.526   174.646
3948.06     68.523   177.582
4005.49     67.579  -178.511
4063.75     66.684  -173.608
4122.86     65.946  -167.848
4182.82     65.389  -161.570
4243.66     65.058  -155.143
4305.39     64.926  -148.937
4368.01     64.937  -143.128
4431.55     65.069  -137.794
4496.01     65.282  -132.974
4561.40     65.561  -128.655
4627.75     65.889  -124.856
4695.06     66.242  -121.542
4763.35     66.606  -118.587
4832.64     67.011  -115.947
4902.93     67.439  -113.601
4974.24     67.932  -111.611
5046.60     68.467  -110.193
5120.00     68.977  -109.323
5194.47     69.478  -108.890
5270.03     69.959  -108.863
5346.68     70.400  -109.056
5424.45     70.856  -109.373
5503.35     71.337  -109.973
5583.40     71.820  -110.945
5664.61     72.249  -112.262
5747.01     72.599  -113.694
5830.60     72.888  -114.854
5915.41     73.184  -115.347
6001.45     73.665  -115.191
6088.74     74.421  -114.885
6177.30     75.520  -115.243
6267.15     76.868  -117.255
6358.31     78.306  -121.662
6450.80     79.696  -128.896
6544.62     80.871  -139.002
6639.82     81.774  -151.771
6736.40     82.299  -166.836
6834.38     82.399   176.353
6933.79     81.885   159.165
7034.64     80.740   143.732
7136.96     79.059   131.620
7240.77     76.762   123.968
7346.09     74.083   121.186
7452.94     71.635   122.280
7561.35     69.581   125.917
7671.33     68.345   130.528
7782.91     67.635   134.830
7896.12     67.431   137.990
8010.97     67.544   139.011
8127.49     67.672   137.649
8245.71     67.687   134.252
8365.65     67.392   129.677
8487.33     66.750   125.305
8610.78     65.875   122.102
8736.03     64.835   120.505
8863.09     63.825   120.479
8992.01     63.032   121.387
9122.80     62.492   122.359
9255.50     62.177   122.777
9390.12     61.961   122.362
9526.70     61.808   121.036
9665.27     61.654   118.771
9805.86     61.516   115.361
9948.49     61.318   110.546
10093.2     61.011   104.162
10240.0     60.300    97.090
10388.9     59.142    91.252
10540.1     57.627    87.738
10693.4     55.657    87.265
10848.9     53.603    89.941
11006.7     52.051    94.240
11166.8     50.885    98.706
11329.2     50.150   102.651
11494.0     49.533   105.785
11661.2     48.972   108.210
11830.8     48.381   110.097
12002.9     47.714   111.851
12177.5     46.973   113.888
12354.6     46.189   116.436
12534.3     45.372   119.715
12716.6     44.621   123.811
12901.6     44.047   128.334
13089.2     43.637   132.810
13279.6     43.404   136.847
13472.8     43.280   140.106
13668.8     43.190   142.475
13867.6     43.063   144.003
14069.3     42.832   144.939
14273.9     42.460   145.684
14481.5     41.933   146.783
14692.2     41.285   148.755
14905.9     40.596   151.857
15122.7     39.934   156.165
15342.7     39.432   161.473
15565.8     39.173   167.280
15792.2     39.166   173.086
16021.9     39.433   178.370
16255.0     39.888  -177.358
