Freq[Hz]  Imp[Ohm]  Phase[Deg]
8127.49     36.617    56.775
8245.71     37.000    56.748
8365.65     37.371    56.716
8487.33     37.712    56.688
8610.78     38.033    56.679
8736.03     38.340    56.696
8863.09     38.636    56.746
8992.01     38.922    56.842
9122.80     39.227    56.990
9255.50     39.572    57.169
9390.12     39.953    57.352
9526.70     40.352    57.537
9665.27     40.786    57.725
9805.86     41.267    57.896
9948.49     41.782    58.035
10093.2     42.346    58.114
10240.0     42.913    58.107
10388.9     43.445    58.026
10540.1     43.911    57.907
10693.4     44.298    57.802
10848.9     44.643    57.756
11006.7     44.976    57.786
11166.8     45.358    57.872
11329.2     45.785    57.972
11494.0     46.247    58.069
11661.2     46.752    58.138
11830.8     47.255    58.166
12002.9     47.735    58.179
12177.5     48.222    58.188
12354.6     48.709    58.180
12534.3     49.166    58.164
12716.6     49.600    58.165
12901.6     50.025    58.192
13089.2     50.461    58.249
13279.6     50.923    58.324
13472.8     51.402    58.414
13668.8     51.945    58.496
13867.6     52.506    58.538
14069.3     53.064    58.545
14273.9     53.595    58.529
14481.5     54.104    58.501
14692.2     54.557    58.487
14905.9     54.990    58.519
15122.7     55.453    58.590
15342.7     55.938    58.684
15565.8     56.461    58.793
15792.2     57.033    58.895
16021.9     57.638    58.968
16255.0     58.234    59.013
16491.4     58.804    59.056
16731.3     59.391    59.105
16974.7     59.988    59.147
17221.6     60.587    59.182
17472.1     61.173    59.219
17726.2     61.758    59.270
17984.0     62.375    59.327
18245.6     62.992    59.389
18511.0     63.661    59.455
18780.2     64.393    59.489
19053.4     65.143    59.456
19330.5     65.821    59.367
19611.7     66.398    59.271
19897.0     66.899    59.204
20186.4     67.331    59.196
20480.0     67.724    59.282
20777.9     68.165    59.481
21080.1     68.793    59.743
21386.7     69.603    59.978
21697.8     70.500    60.145
22013.4     71.498    60.209
22333.6     72.440    60.153
22658.4     73.224    60.051
22988.0     73.936    59.962
23322.4     74.600    59.893
23661.6     75.212    59.858
24005.8     75.829    59.854
24355.0     76.404    59.887
24709.2     76.982    59.983
25068.6     77.678    60.117
25433.2     78.441    60.244
25803.2     79.226    60.370
26178.5     80.116    60.469
26559.3     80.974    60.531
26945.6     81.809    60.602
27337.5     82.737    60.665
27735.2     83.674    60.694
28138.6     84.610    60.691
28547.9     85.526    60.656
28963.1     86.354    60.608
29384.4     87.131    60.576
29811.8     87.851    60.578
30245.4     88.566    60.630
30685.3     89.339    60.726
31131.7     90.202    60.838
31584.5     91.156    60.932
32043.9     92.114    60.998
32510.0     93.077    61.044
32982.8     94.007    61.078
33462.6     94.890    61.126
33949.3     95.775    61.203
34443.1     96.690    61.310
34944.1     97.688    61.432
35452.4     98.720    61.565
35968.0     99.880    61.701
36491.2    101.167    61.798
37022.0    102.497    61.839
37560.5    103.860    61.817
38106.8    105.078    61.733
38661.1    106.043    61.625
39223.4    106.720    61.535
39793.9    107.209    61.454
