Freq[Hz]     dBSPL  Phase[Deg]
10848.9     85.538     0.354
11006.7     85.538     0.348
11166.8     85.538     0.343
11329.2     85.538     0.339
11494.0     85.538     0.334
11661.2     85.538     0.329
11830.8     85.538     0.324
12002.9     85.538     0.320
12177.5     85.538     0.315
12354.6     85.538     0.310
12534.3     85.538     0.306
12716.6     85.538     0.302
12901.6     85.538     0.297
13089.2     85.538     0.293
13279.6     85.538     0.289
13472.8     85.538     0.285
13668.8     85.538     0.281
13867.6     85.538     0.277
14069.3     85.538     0.273
14273.9     85.538     0.269
14481.5     85.538     0.265
14692.2     85.538     0.261
14905.9     85.538     0.257
15122.7     85.538     0.254
15342.7     85.538     0.250
15565.8     85.538     0.246
15792.2     85.538     0.243
16021.9     85.538     0.239
16255.0     85.538     0.236
16491.4     85.538     0.233
16731.3     85.538     0.229
16974.7     85.538     0.226
17221.6     85.538     0.223
17472.1     85.538     0.220
17726.2     85.538     0.216
17984.0     85.538     0.213
18245.6     85.538     0.210
18511.0     85.538     0.207
18780.2     85.538     0.204
19053.4     85.538     0.201
19330.5     85.538     0.198
19611.7     85.538     0.196
19897.0     85.538     0.193
20186.4     85.538     0.190
20480.0     85.538     0.187
20777.9     85.538     0.185
21080.1     85.538     0.182
21386.7     85.538     0.179
21697.8     85.538     0.177
22013.4     85.538     0.174
22333.6     85.538     0.172
22658.4     85.538     0.169
22988.0     85.538     0.167
23322.4     85.538     0.164
23661.6     85.538     0.162
24005.8     85.538     0.160
24355.0     85.538     0.157
24709.2     85.538     0.155
25068.6     85.538     0.153
25433.2     85.538     0.151
25803.2     85.538     0.149
26178.5     85.538     0.147
26559.3     85.538     0.144
26945.6     85.538     0.142
27337.5     85.538     0.140
27735.2     85.538     0.138
28138.6     85.538     0.136
28547.9     85.538     0.134
28963.1     85.538     0.132
29384.4     85.538     0.131
29811.8     85.538     0.129
30245.4     85.538     0.127
30685.3     85.538     0.125
31131.7     85.538     0.123
31584.5     85.538     0.121
32043.9     85.538     0.120
32510.0     85.538     0.118
32982.8     85.538     0.116
